cell_label,brain_section_label,cluster_alias,average_correlation_score
1018093344101830332-4,C57BL6J-638850.33,5283,0.567306814168249
1017092617102310026-1,C57BL6J-638850.38,5283,0.588236057241243
1104095349102760170,C57BL6J-638850.26,5283,0.518876791272347
1018093344102890091-1,C57BL6J-638850.35,5283,0.538299999283522
1018093344100060132,C57BL6J-638850.36,5283,0.594183124085647
1018093344102010421-4,C57BL6J-638850.18,5283,0.625780430054178
1104095349102120101-1,C57BL6J-638850.32,5283,0.523790532773255
1018093344100060077,C57BL6J-638850.36,5283,0.648949894864635
1018093344100070074,C57BL6J-638850.36,5283,0.519162125350955
1017092617100730686,C57BL6J-638850.25,5283,0.54069634040387
1018093344102890245-3,C57BL6J-638850.35,5283,0.578093483962554
1017092617102070628,C57BL6J-638850.38,5283,0.53140700611289
1018093344101330051-2,C57BL6J-638850.36,5283,0.563821059481459
1104095349102760369,C57BL6J-638850.26,5283,0.578688823397081
1104095349101620760-1,C57BL6J-638850.32,5283,0.601014946029595
1018093344102610151-3,C57BL6J-638850.36,5283,0.676449268995884
1104095349102600774,C57BL6J-638850.26,5283,0.601507207099532
1017092617102760420,C57BL6J-638850.25,5283,0.63927415423595
1104095349102750084,C57BL6J-638850.26,5283,0.501549340720047
1018093344101470209-5,C57BL6J-638850.35,5283,0.508352581773063
1018093345101690525,C57BL6J-638850.31,5283,0.52082252289575
1018093345100190202,C57BL6J-638850.31,5283,0.555479993574493
1019171907102770570,C57BL6J-638850.37,5283,0.626523055692871
1018093343102490245,C57BL6J-638850.24,5283,0.505538698092548
1018093344102690453,C57BL6J-638850.35,5283,0.603033575352822
1104095349101620881,C57BL6J-638850.32,5283,0.551199824611531
1018093344101830160-3,C57BL6J-638850.33,5283,0.579617989300142
1018093344102700533,C57BL6J-638850.35,5283,0.505546758774437
1018093343102480112,C57BL6J-638850.24,5283,0.524902652825342
1017092617102760325,C57BL6J-638850.25,5283,0.507123618588955
1018093344102900076-2,C57BL6J-638850.35,5283,0.522763589071688
1018093345101690558,C57BL6J-638850.31,5283,0.530829148589402
1018093344100060112,C57BL6J-638850.36,5283,0.634610916416987
1018093344102290611-2,C57BL6J-638850.19,5283,0.632442851072527
1019171907103490145,C57BL6J-638850.37,5283,0.526606595155553
1017092617102960440,C57BL6J-638850.25,5283,0.615957163504624
1104095349101960453-2,C57BL6J-638850.32,5283,0.643118620680452
1019171907102600324-2,C57BL6J-638850.40,5283,0.559825139561038
1019171907103270097,C57BL6J-638850.37,5283,0.614476470903657
1018093344101320471-3,C57BL6J-638850.36,5283,0.682730341780218
1017092617102760352,C57BL6J-638850.25,5283,0.543483999409096
1018093344100060144,C57BL6J-638850.36,5283,0.597566763920476
1017092617101890259,C57BL6J-638850.38,5283,0.58111741030371
1018093344102700300,C57BL6J-638850.35,5283,0.549576806195344
1018093344101870301-2,C57BL6J-638850.18,5283,0.511514715620822
1017092617200710136,C57BL6J-638850.25,5283,0.524557540057984
