source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Microglia,GABAergic_Neuron,JAM2_ITGA3_ITGB1,Jam2  - (Itga3+Itgb1),Jam2,ITGA3_ITGB1,JAM,Cell-Cell Contact,0.0012656685058633,0.0,0.0007786727563573,0.0,-0.00048699574950599996,PVN_PVH,True,Microglia_outgoing
Microglia,Glutamatergic_Neuron,CD80_CD274,Cd80  - Cd274,Cd80,Cd274,CD80,Cell-Cell Contact,0.0,1.0,0.0004559735287337,0.0,0.0004559735287337,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,COL4A2_SDC4,Col4a2  - Sdc4,Col4a2,Sdc4,COLLAGEN,ECM-Receptor,0.0023404586722757,0.0,0.0019188434099166,0.0,-0.0004216152623591001,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA4A_NRP1_PLXNA4,Sema4a  - (Nrp1+Plxna4),Sema4a,NRP1_PLXNA4,SEMA4,Cell-Cell Contact,0.0101162933287744,0.0,0.0097887144089734,0.0,-0.0003275789198009995,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,ECM-Receptor,0.0008018575084706,0.0,0.0004746112257818,0.0,-0.00032724628268880005,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA4A_PLXNB2,Sema4a  - Plxnb2,Sema4a,Plxnb2,SEMA4,Cell-Cell Contact,0.0075765806047918,0.0,0.007354550357695,0.0,-0.00022203024709680028,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,PTN_SDC4,Ptn  - Sdc4,Ptn,Sdc4,PTN,Secreted Signaling,0.003478914562412,0.0,0.0033189159205901,0.0,-0.00015999864182190005,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,THBS3_SDC4,Thbs3  - Sdc4,Thbs3,Sdc4,THBS,ECM-Receptor,0.0006006688702592,0.0,0.0004696284876225,0.0,-0.00013104038263670007,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,THBS3_SDC4,Thbs3  - Sdc4,Thbs3,Sdc4,THBS,ECM-Receptor,0.0003867802848472,0.0,0.0002612374976563,0.0,-0.0001255427871909,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,JAM3_ITGAM_ITGB2,Jam3  - (Itgam+Itgb2),Jam3,ITGAM_ITGB2,JAM,Cell-Cell Contact,0.0152335637555194,0.0,0.0151537287483791,0.0,-7.983500714030083e-05,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,ECM-Receptor,0.0006071390449365,0.0,0.00053524826087,0.0,-7.18907840665e-05,PVN_PVH,True,Microglia_incoming
