source,target,interaction_name,delta_prob_female,log2FC_female,status_female,delta_prob_male,log2FC_male,status_male,direction_consistent
Pericyte,Microglia,LAMA4_ITGA6_ITGB1,-0.027689352255659994,-0.18992879896383905,shared,-0.018656578930104,-0.1307471310553383,shared,True
Pericyte,Microglia,LAMA4_ITGA9_ITGB1,-0.026949592427299995,-0.18769409029579445,shared,-0.040898219487792015,-0.30701531785949837,shared,True
Pericyte,Microglia,LAMA4_SV2A,0.0,,,0.0466056343901823,35.439785329007194,gained,False
Pericyte,Microglia,LAMB1_ITGA6_ITGB1,-0.0740442340902207,-36.107668344456926,lost,-0.0757345168003568,-36.14023192238209,lost,True
Pericyte,Microglia,LAMB1_ITGA9_ITGB1,-0.072645150603427,-36.08014744346328,lost,-0.0749189896754899,-36.124612393054875,lost,True
Pericyte,Microglia,LAMB2_ITGA6_ITGB1,0.0701132762843409,36.02896860020642,gained,-0.004293704900437206,-0.0873426683158186,shared,False
Pericyte,Microglia,LAMB2_ITGA9_ITGB1,0.0689512154192621,36.00485693158213,gained,-0.013133840404703404,-0.2892184430349098,shared,False
Pericyte,Microglia,LAMB2_SV2A,0.0,,,0.014537001403085,33.7590106592865,gained,False
Pericyte,Microglia,LAMC1_ITGA6_ITGB1,-0.018241069172416025,-0.08664640941999824,shared,-0.01099519744621097,-0.05357201687429465,shared,True
Pericyte,Microglia,LAMC1_ITGA9_ITGB1,-0.01755164801425102,-0.0845007894350176,shared,-0.04059248979750402,-0.21036739196997142,shared,True
Pericyte,Microglia,LAMC3_ITGA6_ITGB1,-0.022543632117209,-0.11567703617136073,shared,-0.020146393432591003,-0.10511234726702208,shared,True
Pericyte,Microglia,LAMC3_ITGA9_ITGB1,-0.021827018634792972,-0.11356582737576916,shared,-0.048044953509217,-0.26704662981682,shared,True
Pericyte,Microglia,LAMC3_SV2A,0.0,,,0.0676589066543941,35.977560812739405,gained,False
Pericyte,Microglia,NRG1_ITGAV_ITGB3,0.0,,,0.0320686384300707,34.900444050066895,gained,False
Pericyte,Microglia,PTN_ITGAV_ITGB3,0.0,,,0.191712307429784,37.48015200100391,gained,False
Pericyte,Microglia,PTN_NCL,-0.021907743087292042,-0.10401756463688575,shared,0.014502094909023988,0.07130945367310197,shared,False
Pericyte,Microglia,PTN_SDC4,-0.007843872445829,-0.08981968098649988,shared,0.109059545293351,36.666325089266145,gained,False
Pericyte,Microglia,PTPRM_PTPRM,-0.037226826932994006,-0.23749486578536577,shared,0.0038044795043850055,0.02363309775419476,shared,False
Pericyte,Microglia,RARRES2_CMKLR1,0.03516195343537801,1.3590698697102699,shared,-0.08470729134434309,-1.3118498084737904,shared,False
Pericyte,Microglia,TGFB2_ACVR1_TGFBR1,0.0377718809152097,35.136593575937994,gained,0.0601482718026813,35.80780423496863,gained,True
Pericyte,Microglia,TGFB2_TGFBR1_TGFBR2,0.0663161638168868,35.948641502737104,gained,0.104094205083087,36.59909879991845,gained,True
Pericyte,Microglia,TNXB_ITGA9_ITGB1,0.0662621788489973,35.947466592141694,gained,0.0648749634701137,35.91694277001184,gained,True
Pericyte,Microglia,TNXB_ITGAV_ITGB3,0.0,,,0.034834871744522,35.01981320048357,gained,False
Pericyte,Microglia,TNXB_SDC4,0.0184433161163695,34.10237902524621,gained,0.0182864066429826,34.09005255615142,gained,True
Pericyte,Microglia,VTN_ITGAV_ITGB1,-0.025491184589064964,-0.11568067494886361,shared,-0.014382524834958,-0.06702994013874568,shared,True
Pericyte,Microglia,VTN_ITGAV_ITGB3,0.0,,,0.188674290349161,37.4571068916526,gained,False
Pericyte,Microglia,VTN_ITGAV_ITGB5,-0.03350006542632,-0.12051688479828389,shared,-0.021607426330571,-0.07989260451515885,shared,True
Pericyte,OPC,AGRN_DAG1,0.170864531216472,37.31406199111208,gained,0.170698943604905,37.312663173835844,gained,True
Pericyte,OPC,BMP4_BMPR1A_ACVR2A,-0.009670266669330699,-0.7486162287181183,shared,0.0251117085971531,34.54764114164957,gained,False
Pericyte,OPC,BMP4_BMPR1A_ACVR2B,-0.0139653871462047,-33.701136517307845,lost,0.0144734307781194,33.75268788742282,gained,False
Pericyte,OPC,BMP4_BMPR1A_BMPR2,-0.0010061902576905986,-0.04930479787419331,shared,0.0317584037506131,34.88641935009803,gained,False
Pericyte,OPC,BMP5_ACVR1_ACVR2A,-0.035146825502975196,-1.3529962278683934,shared,0.0012125294966816996,0.030084434050796194,shared,False
Pericyte,OPC,BMP5_ACVR1_ACVR2B,-0.0348222770131136,-35.01929149217177,lost,0.0005141808007149001,0.021405203387492737,shared,False
