source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Microglia,Tanycyte,F11R_JAM2,F11r,Jam2,F11r  - Jam2,JAM,Cell-Cell Contact,KEGG: mmu04514,0.203145065231894,0.0,0.0831515302601803,0.0,-0.1199935349717137,-1.2886956000845404,Male,shared
Tanycyte,Microglia,JAM2_F11R,Jam2,F11r,Jam2  - F11r,JAM,Cell-Cell Contact,KEGG: mmu04514,0.203145065231894,0.0,0.0831515302601803,0.0,-0.1199935349717137,-1.2886956000845404,Male,shared
Tanycyte,Microglia,PTN_SDC4,,,,,,,0.0,1.0,0.0981806986144266,0.0,0.0981806986144266,36.514720381267395,Male,gained
Tanycyte,Microglia,FGF10_FGFR2,Fgf10,Fgfr2,Fgf10  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358,0.157884004198437,0.0,0.0600088107214626,0.0,-0.0978751934769744,-1.3956187705657597,Male,shared
Tanycyte,Microglia,JAM2_ITGAV_ITGB1,Jam2,ITGAV_ITGB1,Jam2  - (Itgav+Itgb1),JAM,Cell-Cell Contact,KEGG: mmu04514,0.148252931997622,0.0,0.056533563560664,0.0,-0.091719368436958,-1.3908810927870943,Male,shared
Tanycyte,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11,TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350,0.132583908753147,0.0,0.0451733872447492,0.0,-0.08741052150839779,-1.5533606903630075,Male,shared
Tanycyte,Microglia,SEMA4D_PLXNB2,Sema4d,Plxnb2,Sema4d  - Plxnb2,SEMA4,Cell-Cell Contact,PMID: 27533782,0.060689554544716,0.0,0.136351497707445,0.0,0.075661943162729,1.1678104105974259,Male,shared
Microglia,Tanycyte,PSAP_GPR37,,,,,,,0.0,1.0,0.0742999188647215,0.0,0.0742999188647215,36.11264158423931,Male,gained
Microglia,Tanycyte,ENTPD1_ADORA1,,,,,,,0.0,1.0,0.0733980560179166,0.0,0.0733980560179166,36.095022802010114,Male,gained
Tanycyte,Microglia,CSF1_CSF1R,,,,,,,0.0,1.0,0.058703576520705,0.0,0.058703576520705,35.77272935123693,Male,gained
Tanycyte,Microglia,COL4A5_SDC4,,,,,,,0.0,1.0,0.0535280044593666,0.0,0.0535280044593666,35.63957481843674,Male,gained
Tanycyte,Microglia,MDK_SDC4,,,,,,,0.0,1.0,0.0511845808101821,0.0,0.0511845808101821,35.57499021734986,Male,gained
Tanycyte,Microglia,COL9A3_ITGA9_ITGB1,,,,,,,0.0,1.0,0.0447530122224294,0.0,0.0447530122224294,35.38126573903935,Male,gained
Tanycyte,Microglia,FGF2_FGFR2,Fgf2,Fgfr2,Fgf2  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358,0.0508804044516568,0.0,0.0159655696078594,0.0,-0.0349148348437974,-1.6721461134432667,Male,shared
Tanycyte,Microglia,SEMA4G_PLXNB2,Sema4g,Plxnb2,Sema4g  - Plxnb2,SEMA4,Cell-Cell Contact,PMID: 27533782,0.0339895201326408,0.0,0.0,1.0,-0.0339895201326408,-34.98437094283018,Male,lost
Tanycyte,Microglia,TNXB_ITGA9_ITGB1,,,,,,,0.0,1.0,0.0330646909520525,0.0,0.0330646909520525,34.944572366020964,Male,gained
Tanycyte,Microglia,GAS6_MERTK,Gas6,Mertk,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848,0.301353409829971,0.0,0.269320438581136,0.0,-0.032032971248834974,-0.16213266972212761,Male,shared
Tanycyte,Microglia,MDK_LRP1,Mdk,Lrp1,Mdk  - Lrp1,MK,Secreted Signaling,PMID: 28356350,0.21635513262724,0.0,0.247280682828426,0.0,0.03092555020118601,0.19274819664907264,Male,shared
Tanycyte,Microglia,JAM3_F11R,Jam3,F11r,Jam3  - F11r,JAM,Cell-Cell Contact,KEGG: mmu04514,0.227908716703705,0.0,0.197127015621735,0.0,-0.03078170108196998,-0.20933059701545959,Male,shared
Microglia,Tanycyte,F11R_JAM3,F11r,Jam3,F11r  - Jam3,JAM,Cell-Cell Contact,KEGG: mmu04514,0.227908716703705,0.0,0.197127015621735,0.0,-0.03078170108196998,-0.20933059701545959,Male,shared
Tanycyte,Microglia,THBS3_ITGAV_ITGB3,,,,,,,0.0,1.0,0.0302899063337548,0.0,0.0302899063337548,34.81811806577899,Male,gained
