source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
MOL,Endothelial,WNT,0.0833705762455798,0.0,0.0,1.0,-0.0833705762455798,-36.2788192558882,Female,lost
Ependymal,SMC,SEMA6,0.0,1.0,0.0833564757847946,0.02,0.0833564757847946,36.27857523232215,Female,gained
Pericyte,SMC,NOTCH,0.177465640397756,0.0,0.260734079528997,0.0,0.08326843913124102,0.5550394366380067,Female,shared
OPC,Ependymal,NGL,0.227247643350273,0.0,0.310402930086429,0.0,0.08315528673615599,0.449876842916493,Female,shared
Tanycyte,Glutamatergic_Neuron,FGF,0.476299136069264,0.0,0.559327182517441,0.0,0.08302804644817696,0.23182451309914232,Female,shared
Glutamatergic_Neuron,Pericyte,VEGF,0.0829113711445677,0.0,0.0,1.0,-0.0829113711445677,-36.270850927196626,Female,lost
Endothelial,Ependymal,SEMA7,0.0826384708993088,0.0,0.0,1.0,-0.0826384708993088,-36.26609450843779,Female,lost
Pericyte,Tanycyte,CDH,0.367382065371235,0.0,0.284829788028974,0.0,-0.082552277342261,-0.3671811656544411,Female,shared
Tanycyte,Pericyte,CDH,0.367382065371235,0.0,0.284829788028974,0.0,-0.082552277342261,-0.3671811656544411,Female,shared
GABAergic_Neuron,GABAergic_Neuron,PTN,0.0823668860627308,0.0,0.0,1.0,-0.0823668860627308,-36.26134539655519,Female,lost
SMC,Tanycyte,BMP,0.0825118683099812,0.0,0.164688138876484,0.0,0.08217627056650281,0.9970631002103817,Female,shared
Pericyte,Astrocyte,TENASCIN,0.0,1.0,0.0820694010908045,0.0,0.0820694010908045,36.256125374023846,Female,gained
OPC,Astrocyte,NOTCH,0.090892629343844,0.0,0.172950909123992,0.0,0.082058279780148,0.9281273839216466,Female,shared
Pericyte,SMC,SEMA6,0.0,1.0,0.0819023749941958,0.03,0.0819023749941958,36.25318623644335,Female,gained
Tanycyte,GABAergic_Neuron,FGF,0.462728764176644,0.0,0.544593388509107,0.0,0.081864624332463,0.23501268523578298,Female,shared
Tanycyte,MOL,NRG,0.165887344845772,0.0,0.0840876151975949,0.0,-0.0817997296481771,-0.980238596060696,Female,shared
MOL,Tanycyte,SEMA4,0.332566548264638,0.0,0.414324104631858,0.0,0.08175755636721999,0.31711669601576553,Female,shared
Astrocyte,Astrocyte,GAS,0.0,1.0,0.081328053734563,0.0,0.081328053734563,36.24303403799912,Female,gained
Tanycyte,Glutamatergic_Neuron,NRXN,1.64556143232636,0.0,1.56473763654033,0.0,-0.08082379578603005,-0.0726591091956542,Female,shared
OPC,SMC,SEMA6,0.0,1.0,0.0804860615012561,0.03,0.0804860615012561,36.22801990921019,Female,gained
Glutamatergic_Neuron,OPC,CDH,0.123017551706567,0.0,0.0430224043987749,0.0,-0.0799951473077921,-1.5157041086091347,Female,shared
OPC,Glutamatergic_Neuron,CDH,0.123017551706567,0.0,0.0430224043987749,0.0,-0.0799951473077921,-1.5157041086091347,Female,shared
GABAergic_Neuron,Microglia,EPHA,0.0,1.0,0.0799941633521027,0.0,0.0799941633521027,36.219175688764615,Female,gained
Ependymal,Ependymal,WNT,0.179513795334556,0.0,0.0996227530760425,0.0,-0.0798910422585135,-0.8495475314303222,Female,shared
Glutamatergic_Neuron,Microglia,EPHA,0.0,1.0,0.079463765393841,0.0,0.079463765393841,36.20957810610226,Female,gained
Endothelial,Endothelial,LAMININ,0.766611390372559,0.0,0.687325050547428,0.0,-0.079286339825131,-0.15750289256201366,Female,shared
GABAergic_Neuron,MOL,FGF,0.0642341801698861,0.0,0.143166293367146,0.0,0.07893211319725991,1.156278777948604,Female,shared
Glutamatergic_Neuron,Ependymal,CX3C,0.078868274016932,0.0,0.0,1.0,-0.078868274016932,-36.19872601943185,Female,lost
Endothelial,Tanycyte,HSPG,0.0664474864564659,0.0,0.14514762215149,0.0,0.07870013569502408,1.127234405444358,Female,shared
Astrocyte,Pericyte,GAS,0.0,1.0,0.0785592763774722,0.0,0.0785592763774722,36.19306258970243,Female,gained
Pericyte,Ependymal,PTN,1.65541906036077,0.0,1.5769296243572,0.0,-0.07848943600356995,-0.0700781971145734,Female,shared
OPC,GABAergic_Neuron,CDH,0.122970193436013,0.0,0.044593168107517,0.0,-0.078377025328496,-1.4634140609745216,Female,shared
GABAergic_Neuron,OPC,CDH,0.122970193436013,0.0,0.044593168107517,0.0,-0.078377025328496,-1.4634140609745216,Female,shared
GABAergic_Neuron,Glutamatergic_Neuron,PTN,0.0781176083481936,0.0,0.0,1.0,-0.0781176083481936,-36.184928729184136,Female,lost
MOL,OPC,WNT,0.0779598759402119,0.0,0.0,1.0,-0.0779598759402119,-36.182012743687736,Female,lost
Glutamatergic_Neuron,GABAergic_Neuron,PTN,0.0773225654471202,0.0,0.0,1.0,-0.0773225654471202,-36.17017045370007,Female,lost
OPC,Tanycyte,LAMININ,0.485755810107392,0.0,0.562913985461923,0.0,0.07715817535453096,0.21268324012402737,Female,shared
OPC,Ependymal,SEMA3,0.160342765625158,0.0,0.0832597352602708,0.0,-0.0770830303648872,-0.945468387173015,Female,shared
Glutamatergic_Neuron,Pericyte,NOTCH,0.543251134027101,0.0,0.620249255379219,0.0,0.07699812135211803,0.19122881712615927,Female,shared
MOL,Ependymal,PTN,1.47179152476256,0.0,1.39502232575522,0.0,-0.07676919900734003,-0.07728512112402298,Female,shared
