"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
1.41387554571598e-24,0.709652304982157,0.192,0.138,3.28415011758908e-20,"Plekhj1","Neuron"
1.45090321826178e-24,-0.686177622728399,0.074,0.119,3.37015799537846e-20,"Ndst2","Neuron"
1.46978813654746e-24,-0.383496424126575,0.207,0.274,3.41402388357245e-20,"Trappc12","Neuron"
1.47087659691133e-24,0.297129972109722,0.557,0.505,3.41655215930564e-20,"Slc25a36","Neuron"
1.47753373649882e-24,0.38351698686259,0.529,0.477,3.43201536313945e-20,"Hsp90b1","Neuron"
1.61952657822417e-24,-0.444805378250736,0.112,0.166,3.76183633589911e-20,"Rab22a","Neuron"
1.64134399885534e-24,-0.278794333901035,0.343,0.416,3.81251384054118e-20,"Ythdc2","Neuron"
1.64514163015495e-24,-0.307600098384788,0.312,0.383,3.82133497852393e-20,"Ccdc50","Neuron"
1.67196873998826e-24,-0.501767498948356,0.111,0.163,3.88364898924472e-20,"Klhdc3","Neuron"
1.67908541170324e-24,0.619314913515682,0.293,0.233,3.90017959430429e-20,"Gm20754","Neuron"
1.6851408329513e-24,-0.313547822228273,0.234,0.305,3.91424512677929e-20,"Puf60","Neuron"
1.76147515318896e-24,-0.308216492863216,0.32,0.394,4.09155448582731e-20,"Jph4","Neuron"
1.9605051104645e-24,0.687346385145938,0.189,0.135,4.55386127058694e-20,"Kdelr1","Neuron"
2.10414603964104e-24,-0.329221412950277,0.304,0.377,4.88751042087821e-20,"Naa16","Neuron"
2.12353715922563e-24,0.565776017082866,0.273,0.213,4.93255211344929e-20,"Ssr1","Neuron"
2.20017792170255e-24,0.636516759098704,0.188,0.133,5.11057327653069e-20,"Socs2","Neuron"
2.35190739660834e-24,-0.33082558296662,0.243,0.314,5.46301050084185e-20,"Mms19","Neuron"
2.40772655037354e-24,0.797035372235597,0.13,0.084,5.59266723120767e-20,"Trnp1","Neuron"
2.4381753952988e-24,-0.275156617280853,0.32,0.394,5.66339380820005e-20,"Gdap1","Neuron"
2.56955111020772e-24,-0.375272689879239,0.158,0.219,5.96855331879048e-20,"Celsr2","Neuron"
