"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.61037257482279e-111,-0.55215670907124,0.267,0.393,3.74057341679838e-107,"Jakmip3"
4.06266496771096e-55,-0.55235474509295,0.135,0.206,9.43675818699901e-51,"Ankmy2"
3.29221116272222e-51,-0.552428875587495,0.097,0.159,7.64714808877117e-47,"Aasdh"
2.70994893575703e-52,-0.552844148693187,0.115,0.181,6.29466938797643e-48,"Trmt10b"
3.48073984208397e-54,-0.552876234947324,0.093,0.156,8.08506250519265e-50,"Dhcr7"
2.63222347598252e-91,-0.553141062857249,0.313,0.428,6.11412869001219e-87,"Ptpn5"
5.61637803679317e-133,-0.553161471647668,0.324,0.469,1.30457229038632e-128,"Zfp692"
5.31424578904072e-48,-0.553483893236072,0.08,0.135,1.23439301187838e-43,"Gpn1"
4.65852523887597e-70,-0.5538559366836,0.114,0.192,1.08208224248611e-65,"Slc12a6"
4.22602248928118e-53,-0.553891378418072,0.115,0.18,9.81620503810233e-49,"Riok2"
5.65935742620298e-128,-0.554028665058947,0.272,0.41,1.31455554295843e-123,"Brd1"
3.52304794006958e-120,-0.554153327603241,0.281,0.415,8.18333575519361e-116,"Paxbp1"
5.57950299668753e-78,-0.554596149527979,0.173,0.267,1.29600695607058e-73,"Slc7a6os"
8.43746425727495e-52,-0.554954371788136,0.083,0.141,1.95985419767983e-47,"Gsk3a"
1.90099414289092e-74,-0.555290509672034,0.154,0.242,4.41562919510702e-70,"Slc25a46"
9.23592548766517e-29,-0.555309287190286,0.078,0.118,2.14532077227486e-24,"Dpf1"
9.873998310528e-28,-0.555438518343037,0.064,0.1,2.29353232756944e-23,"Utp15"
1.49592688147519e-40,-0.555526699048037,0.071,0.118,3.47473896029058e-36,"Mak16"
2.99777665026706e-43,-0.555989715872716,0.084,0.136,6.96323560324034e-39,"5730480H06Rik"
6.81788869223359e-53,-0.557294025580937,0.081,0.139,1.58365918543202e-48,"Ubl7"
2.70278088300047e-45,-0.557304030382068,0.106,0.165,6.27801943503348e-41,"Nasp"
7.33009854077238e-54,-0.557625663514999,0.093,0.154,1.70263528905061e-49,"Eif2b5"
2.32405458850679e-50,-0.558297699734417,0.086,0.143,5.39831399818358e-46,"Acap3"
4.23199268058457e-60,-0.558422677116569,0.11,0.18,9.83007259846184e-56,"Rnmt"
3.23493545273894e-30,-0.558882223339408,0.082,0.123,7.514108069622e-26,"Ccdc92b"
3.08323805193408e-73,-0.558936617677033,0.132,0.215,7.16174534703249e-69,"Atg2b"
1.13920036334418e-155,-0.55937355593368,0.342,0.494,2.64613460397587e-151,"Vps13c"
7.67879155644229e-44,-0.55998265318407,0.07,0.119,1.78362970273042e-39,"Abcf3"
1.34374103558501e-43,-0.560505406973994,0.082,0.134,3.12124167745686e-39,"Parp1"
4.03854027801146e-42,-0.560902020912572,0.096,0.15,9.38072135776503e-38,"B3galt2"
7.91117249839314e-52,-0.561481312344729,0.09,0.15,1.83760714792676e-47,"Adsl"
4.44154488310105e-142,-0.562716494919612,0.341,0.486,1.03168204544671e-137,"Atp11b"
2.92434660296131e-140,-0.562828542821667,0.357,0.503,6.79267228935853e-136,"Ywhag"
3.12391822761963e-42,-0.562857775526647,0.1,0.155,7.25623725911487e-38,"Rbm24"
4.81608619466572e-70,-0.56315459417028,0.213,0.304,1.11868050129695e-65,"Rph3a"
1.27250001964314e-39,-0.563668303595604,0.09,0.14,2.95576304562709e-35,"Tmem25"
1.5494128528971e-65,-0.564617408797262,0.196,0.284,3.59897617470939e-61,"Cacna1g"
7.47027871402312e-67,-0.564739137131462,0.11,0.185,1.73519633969329e-62,"Mthfsl"
9.3471869775411e-176,-0.565354683750393,0.393,0.565,2.17116459114325e-171,"Clk1"
1.83272088119674e-45,-0.56545241307253,0.116,0.176,4.25704406284379e-41,"Hectd2"
1.38953355464575e-37,-0.565677576252988,0.072,0.118,3.22760854073116e-33,"Gpr61"
2.23961340863571e-51,-0.565902343922248,0.101,0.164,5.20217402557903e-47,"Rusc1"
1.7659400349213e-61,-0.565915598757419,0.151,0.23,4.1019255131152e-57,"Tmem169"
4.78997996186611e-25,-0.566442919788306,0.082,0.119,1.11261654554226e-20,"Isl1"
1.36940011292316e-71,-0.566529782648363,0.125,0.206,3.18084258229792e-67,"U2af2"
9.86417293353439e-102,-0.567218177256837,0.258,0.378,2.29125008900137e-97,"Cpt1c"
8.89020258615025e-42,-0.567508525367751,0.081,0.131,2.06501625671098e-37,"AU041133"
2.19381965015769e-51,-0.567663877095203,0.091,0.151,5.09580428338628e-47,"Nelfa"
4.31544424228056e-84,-0.568109634056746,0.122,0.21,1.00239138859693e-79,"Gpkow"
2.39317350471309e-55,-0.568180740659232,0.098,0.162,5.55886341674757e-51,"Arhgap33"
1.85100505833999e-75,-0.568194525143724,0.149,0.237,4.29951454951212e-71,"Rpp21"
1.19209387642125e-55,-0.568949437411484,0.058,0.111,2.76899565615127e-51,"Fam173b"
2.26663667149336e-77,-0.569106100041663,0.207,0.304,5.26494366054477e-73,"Crmp1"
2.36764805391992e-118,-0.569581157700412,0.251,0.379,5.4995728996452e-114,"Rnf14"
3.93460149967733e-89,-0.569670283211905,0.217,0.323,9.13929236345049e-85,"Cep70"
1.37004304074179e-117,-0.569940865182269,0.259,0.39,3.18233597503502e-113,"Ring1"
9.75242301148197e-81,-0.570126584423792,0.14,0.229,2.26529281710703e-76,"Map1a"
2.16506598676116e-66,-0.570360539424215,0.139,0.218,5.02901527404883e-62,"0610030E20Rik"
1.46336902040827e-54,-0.571096609068348,0.074,0.132,3.39911356060432e-50,"Snrnp200"
2.74754507699566e-54,-0.571412374607279,0.093,0.154,6.38199770484552e-50,"3110043O21Rik"
6.33684226635806e-50,-0.571430696429402,0.084,0.141,1.47192172162965e-45,"Lca5l"
1.12732488138374e-64,-0.571509986837609,0.178,0.263,2.61855023447815e-60,"4430402I18Rik"
1.55219662168578e-76,-0.571939822040986,0.166,0.256,3.60544231285174e-72,"Sacs"
3.47244855728495e-58,-0.572057224639391,0.1,0.166,8.06580350886149e-54,"Cog8"
1.97634084119988e-37,-0.572161034818112,0.076,0.122,4.59064450593908e-33,"Dynlt1c"
8.04064884462184e-55,-0.572917977538738,0.075,0.133,1.86768191362876e-50,"Fn3k"
4.35727783121682e-32,-0.57319949775132,0.065,0.105,1.01210849463504e-27,"3110002H16Rik"
4.03827657321551e-34,-0.573466840761683,0.078,0.122,9.38010882426499e-30,"Bbs1"
4.06086144660824e-120,-0.573517025293813,0.241,0.371,9.43256896818162e-116,"Zfp397"
1.48475908260064e-53,-0.573606305605007,0.091,0.152,3.44879839706476e-49,"Mynn"
8.59985080541854e-53,-0.573695142718899,0.121,0.188,1.99757334508262e-48,"Ube4bos1"
4.04046548026355e-181,-0.573908136558983,0.411,0.579,9.38519321755617e-177,"Cyld"
1.42646072693326e-36,-0.574284344779653,0.087,0.135,3.31338297652058e-32,"Ttl"
1.3190094114334e-30,-0.575048177106594,0.072,0.112,3.06379506087749e-26,"Gpam"
4.45593701922451e-31,-0.575545499493314,0.069,0.109,1.03502505082547e-26,"Thap12"
3.70832018929843e-45,-0.576763089676569,0.098,0.154,8.6136861357024e-41,"Zfp37"
