key,prob_young,prob_aged,change,log2FC,LR_pair,direction
GAS6_MERTK|Microglia→Tanycyte,6.20477330517443e-11,1.49894843837118e-10,8.78471107853736e-11,1.27250035077525,GAS6_MERTK,Microglia→Tanycyte
NEGR1_NEGR1|Microglia→Tanycyte,1.01319272715991e-10,1.50421582733195e-10,4.91023100172045e-11,0.570102955764821,NEGR1_NEGR1,Microglia→Tanycyte
VEGFB_VEGFR1|Microglia→Tanycyte,1.81679153276934e-11,6.20313216945459e-11,4.38634063668525e-11,1.77160397714732,VEGFB_VEGFR1,Microglia→Tanycyte
NCAM1_NCAM2|Microglia→Tanycyte,2.97293158226402e-11,7.11485355181007e-11,4.14192196954605e-11,1.25894779934439,NCAM1_NCAM2,Microglia→Tanycyte
NRG1_ERBB4|Microglia→Tanycyte,0,3.67044412995157e-11,3.67044412995157e-11,64.9925884450323,NRG1_ERBB4,Microglia→Tanycyte
JAM2_JAM3|Microglia→Tanycyte,3.00154430364505e-11,6.33475901385353e-11,3.33321471020848e-11,1.07758477486753,JAM2_JAM3,Microglia→Tanycyte
NCAM1_NCAM1|Microglia→Tanycyte,7.48117977912161e-11,1.05992024780221e-10,3.11802269890052e-11,0.502618009717563,NCAM1_NCAM1,Microglia→Tanycyte
NRXN2_NLGN1|Microglia→Tanycyte,3.104131377799e-11,0,-3.104131377799e-11,-64.7508234216247,NRXN2_NLGN1,Microglia→Tanycyte
EFNB1_EPHB1|Microglia→Tanycyte,2.29180923678019e-11,4.78579931099539e-11,2.4939900742152e-11,1.06227293622854,EFNB1_EPHB1,Microglia→Tanycyte
NAMPT_INSR|Microglia→Tanycyte,1.45715520887164e-11,3.94822655359465e-11,2.49107134472301e-11,1.43805022136827,NAMPT_INSR,Microglia→Tanycyte
SEMA4C_PLXNB2|Microglia→Tanycyte,1.79887950373064e-11,4.22595109358753e-11,2.42707158985689e-11,1.2321775189959,SEMA4C_PLXNB2,Microglia→Tanycyte
OSM_LIFR_IL6ST|Microglia→Tanycyte,3.5282207181158e-12,2.7750528894826e-11,2.42223081767102e-11,2.97550254710099,OSM_LIFR_IL6ST,Microglia→Tanycyte
GAS6_AXL|Microglia→Tanycyte,2.28971562300634e-11,0,-2.28971562300634e-11,-64.311802233167,GAS6_AXL,Microglia→Tanycyte
