key,prob_young,prob_aged,change,log2FC,LR_pair,direction
PTN_NCL|Tanycyte→Microglia,1.06067538850816e-09,6.70693906070861e-09,5.64626367220046e-09,2.66067129562337,PTN_NCL,Tanycyte→Microglia
CADM1_CADM1|Tanycyte→Microglia,1.42845077565543e-09,5.52835729828626e-09,4.09990652263083e-09,1.95239953833489,CADM1_CADM1,Tanycyte→Microglia
CX3CL1_CX3CR1|Tanycyte→Microglia,1.77365923913299e-09,4.83457269884901e-09,3.06091345971602e-09,1.44665952224478,CX3CL1_CX3CR1,Tanycyte→Microglia
PTN_SDC4|Tanycyte→Microglia,5.14647367387116e-10,2.90114289204455e-09,2.38649552465743e-09,2.49496520354002,PTN_SDC4,Tanycyte→Microglia
PTN_ITGAV_ITGB3|Tanycyte→Microglia,6.09242902689907e-10,2.0544146118162e-09,1.4451717091263e-09,1.75363792399452,PTN_ITGAV_ITGB3,Tanycyte→Microglia
MDK_LRP1|Tanycyte→Microglia,4.70099939214726e-10,1.66034198666526e-09,1.19024204745053e-09,1.82044103021387,MDK_LRP1,Tanycyte→Microglia
PTN_SDC3|Tanycyte→Microglia,6.27618896789338e-12,1.11856694115436e-09,1.11229075218647e-09,7.47754709175993,PTN_SDC3,Tanycyte→Microglia
CSF1_CSF1R|Tanycyte→Microglia,0,6.13870739278621e-10,6.13870739278621e-10,69.0564968018216,CSF1_CSF1R,Tanycyte→Microglia
MDK_ITGA6_ITGB1|Tanycyte→Microglia,3.02611873366537e-10,8.31193964032025e-10,5.28582090665488e-10,1.45771658304806,MDK_ITGA6_ITGB1,Tanycyte→Microglia
JAM3_ITGAM_ITGB2|Tanycyte→Microglia,2.24110155506943e-10,7.28478006047588e-10,5.04367850540645e-10,1.70067738983746,JAM3_ITGAM_ITGB2,Tanycyte→Microglia
MDK_NCL|Tanycyte→Microglia,1.28554859224151e-10,6.32451306247831e-10,5.03896447023681e-10,2.29857026456983,MDK_NCL,Tanycyte→Microglia
JAM3_F11R|Tanycyte→Microglia,3.4017496946912e-10,8.25741291061882e-10,4.85566321592762e-10,1.27941285928878,JAM3_F11R,Tanycyte→Microglia
TGFB2_TGFBR1_TGFBR2|Tanycyte→Microglia,1.44218257090695e-09,9.93681753276901e-10,-4.48500817630053e-10,-0.537398033376867,TGFB2_TGFBR1_TGFBR2,Tanycyte→Microglia
GAS6_MERTK|Tanycyte→Microglia,3.22249229196766e-09,3.67061559354059e-09,4.48123301572936e-10,0.187845127881872,GAS6_MERTK,Tanycyte→Microglia
COL4A5_ITGA9_ITGB1|Tanycyte→Microglia,4.62819856283632e-10,7.90069482541529e-10,3.27249626257897e-10,0.771528774987489,COL4A5_ITGA9_ITGB1,Tanycyte→Microglia
PTPRM_PTPRM|Tanycyte→Microglia,6.54505343104557e-10,9.62074018469678e-10,3.07568675365122e-10,0.555742924195163,PTPRM_PTPRM,Tanycyte→Microglia
APP_CD74|Tanycyte→Microglia,8.38492300828173e-11,3.71807617365211e-10,2.87958387282394e-10,2.14868688570258,APP_CD74,Tanycyte→Microglia
JAM2_F11R|Tanycyte→Microglia,3.24040190866018e-10,5.78449000781846e-10,2.54408809915827e-10,0.83601700668676,JAM2_F11R,Tanycyte→Microglia
TGFB3_TGFBR1_TGFBR2|Tanycyte→Microglia,0,2.46141381892937e-10,2.46141381892937e-10,67.738049125364,TGFB3_TGFBR1_TGFBR2,Tanycyte→Microglia
EFNA5_EPHA2|Tanycyte→Microglia,1.98788612952262e-10,4.44481950360197e-10,2.45693337407935e-10,1.1608897163744,EFNA5_EPHA2,Tanycyte→Microglia
FGF10_FGFR2|Tanycyte→Microglia,2.11738774951959e-10,4.4674403322445e-10,2.35005258272492e-10,1.07716297152335,FGF10_FGFR2,Tanycyte→Microglia
TGFB2_ACVR1_TGFBR1|Tanycyte→Microglia,6.6380937372542e-10,4.33324066781627e-10,-2.30485306943794e-10,-0.615322636021699,TGFB2_ACVR1_TGFBR1,Tanycyte→Microglia
MDK_SDC4|Tanycyte→Microglia,6.2375732530369e-11,2.73571976471441e-10,2.11196243941072e-10,2.1328636959242,MDK_SDC4,Tanycyte→Microglia
COL4A5_SDC4|Tanycyte→Microglia,1.08537587181513e-10,3.02964005541685e-10,1.94426418360171e-10,1.48095165792455,COL4A5_SDC4,Tanycyte→Microglia
NRXN1_NLGN1|Tanycyte→Microglia,6.91069121299185e-10,8.54127301635427e-10,1.63058180336241e-10,0.305621091997475,NRXN1_NLGN1,Tanycyte→Microglia
SEMA4D_PLXNB2|Tanycyte→Microglia,1.11336050687628e-10,2.65773925779244e-10,1.54437875091616e-10,1.25527875946379,SEMA4D_PLXNB2,Tanycyte→Microglia
COL4A6_ITGA9_ITGB1|Tanycyte→Microglia,1.46410522012293e-10,2.62373843391358e-10,1.15963321379065e-10,0.84160466297977,COL4A6_ITGA9_ITGB1,Tanycyte→Microglia
TGFB3_ACVR1_TGFBR1|Tanycyte→Microglia,0,1.07337159892888e-10,1.07337159892888e-10,66.540711518224,TGFB3_ACVR1_TGFBR1,Tanycyte→Microglia
JAM2_ITGAV_ITGB1|Tanycyte→Microglia,1.52852868206249e-10,2.43331142166602e-10,9.04782739603533e-11,0.670777348123434,JAM2_ITGAV_ITGB1,Tanycyte→Microglia
RARRES2_CMKLR1|Tanycyte→Microglia,3.93041093729827e-11,1.29684277509682e-10,9.03801681366997e-11,1.72225151868471,RARRES2_CMKLR1,Tanycyte→Microglia
PTN_PTPRZ1|Tanycyte→Microglia,1.25523778972501e-11,8.46724122867454e-11,7.21200343894953e-11,2.75393130019803,PTN_PTPRZ1,Tanycyte→Microglia
LAMC1_ITGA6_ITGB1|Tanycyte→Microglia,6.66301449463385e-11,1.36242552325297e-10,6.96124073789585e-11,1.03193043023736,LAMC1_ITGA6_ITGB1,Tanycyte→Microglia
THY1_ITGAM_ITGB2|Tanycyte→Microglia,0,6.82948204580583e-11,6.82948204580583e-11,65.8884099702065,THY1_ITGAM_ITGB2,Tanycyte→Microglia
COL4A6_SDC4|Tanycyte→Microglia,3.4335266084e-11,1.00611184282243e-10,6.62759181982434e-11,1.5510276399012,COL4A6_SDC4,Tanycyte→Microglia
LAMB2_ITGA6_ITGB1|Tanycyte→Microglia,1.02721471645445e-10,1.64864936494032e-10,6.21434648485866e-11,0.682546822164753,LAMB2_ITGA6_ITGB1,Tanycyte→Microglia
LAMC1_ITGA9_ITGB1|Tanycyte→Microglia,5.85642113214791e-11,1.16938157707687e-10,5.83739463862076e-11,0.997654561889035,LAMC1_ITGA9_ITGB1,Tanycyte→Microglia
